Product Code,0001
Points,x,y,z
pt,-0.00317578,55.2996,0
pt,-0.0034551,54.3831,0
pt,-0.00356867,53.4664,0
pt,-0.00353654,52.5497,0
pt,-0.00337878,51.6328,0
pt,-0.00311543,50.7159,0
pt,-0.00276655,49.7989,0
pt,-0.00235218,48.8819,0
pt,-0.00189239,47.9649,0
pt,-0.00140722,47.0478,0
pt,-0.000916734,46.1308,0
pt,-0.000440975,45.2137,0
pt,-1.66967e-17,44.2967,0
pt,0.000299297,43.6044,0
pt,0.000568339,42.9121,0
pt,0.000808132,42.2198,0
pt,0.00101968,41.5275,0
pt,0.00120398,40.8352,0
pt,0.00136205,40.143,0
pt,0.00149489,39.4508,0
pt,0.00160349,38.7586,0
pt,0.00168887,38.0664,0
pt,0.00175203,37.3742,0
pt,0.00179397,36.682,0
pt,0.0018157,35.9899,0
pt,0.00181822,35.2977,0
pt,0.00180254,34.6056,0
pt,0.00176966,33.9135,0
pt,0.00172058,33.2214,0
pt,0.00165631,32.5293,0
pt,0.00157785,31.8372,0
pt,0.00148621,31.1451,0
pt,0.00138239,30.4531,0
pt,0.00126739,29.761,0
pt,0.00114223,29.069,0
pt,0.00100789,28.3769,0
pt,0.000865397,27.6849,0
pt,0.000715742,26.9928,0
pt,0.000559934,26.3008,0
pt,0.000398975,25.6088,0
pt,0.00023387,24.9167,0
pt,6.56233e-05,24.2247,0
pt,-0.000104761,23.5327,0
pt,-0.000276279,22.8407,0
pt,-0.000447926,22.1486,0
pt,-0.000618698,21.4566,0
pt,-0.000787591,20.7646,0
pt,-0.000953601,20.0726,0
pt,-0.00111572,19.3805,0
pt,-0.00127295,18.6885,0
pt,-0.00142429,17.9965,0
pt,-0.00156873,17.3044,0
pt,-0.00170526,16.6124,0
pt,-0.00183288,15.9203,0
pt,-0.00195059,15.2283,0
pt,-0.00205739,14.5362,0
pt,-0.00215226,13.8441,0
pt,-0.00223421,13.1521,0
pt,-0.00230223,12.46,0
pt,-0.00235532,11.7679,0
pt,-0.00239247,11.0758,0
pt,-0.00241268,10.3836,0
pt,-0.00241494,9.69149,0
pt,-0.00239825,8.99935,0
pt,-0.00236161,8.30719,0
pt,-0.00230401,7.61501,0
pt,-0.00222445,6.92282,0
pt,-0.00212192,6.23062,0
pt,-0.00199543,5.5384,0
pt,-0.00184395,4.84617,0
pt,-0.0016665,4.15391,0
pt,-0.00146207,3.46164,0
pt,-0.00122964,2.76935,0
pt,-0.00096823,2.07705,0
pt,-0.000676821,1.38472,0
pt,-0.000354413,0.692369,0
pt,0,-0,0
