67.4095,245.562,-11.2797
67.86,245.795,-12.1495
68.3078,246.023,-13.003
68.7672,246.252,-13.8563
69.2442,246.481,-14.7091
69.7341,246.704,-15.5428
70.2508,246.926,-16.3703
70.7929,247.142,-17.1792
71.3646,247.354,-17.967
71.9738,247.559,-18.7354
72.0993,247.6,-18.8851
72.7507,247.795,-19.6147
73.4458,247.979,-20.3025
74.2012,248.151,-20.9415
75.0093,248.301,-21.5019
75.0362,248.305,-21.5185
75.9131,248.431,-21.9894
76.8244,248.532,-22.3645
77.7797,248.611,-22.6612
78.7501,248.671,-22.8828
79.74,248.713,-23.0419
80.7324,248.741,-23.146
81.3544,248.752,-23.1872
82.3592,248.753,-23.2266
83.3617,248.726,-23.2397
84.3542,248.676,-23.2288
85.3511,248.602,-23.1962
86.3505,248.508,-23.1441
87.3449,248.394,-23.0751
88.3285,248.265,-22.9923
89.309,248.121,-22.8977
90.2905,247.965,-22.7932
91.2753,247.796,-22.681
92.246,247.621,-22.5655
93.2192,247.439,-22.4471
94.1902,247.252,-22.3288
95.1632,247.061,-22.2124
95.8484,246.926,-22.1331
96.8334,246.735,-22.0225
97.8076,246.55,-21.9155
98.7845,246.367,-21.8102
99.7542,246.189,-21.7072
100.729,246.011,-21.6048
101.71,245.834,-21.5025
102.68,245.659,-21.4015
103.659,245.483,-21.2994
104.635,245.305,-21.1972
105.613,245.126,-21.0936
106.597,244.943,-20.988
107.419,244.788,-20.8983
108.39,244.6,-20.7897
109.357,244.402,-20.6754
110.322,244.186,-20.5511
111.286,243.946,-20.4121
112.24,243.674,-20.2554
113.173,243.368,-20.0788
113.795,243.137,-19.9453
114.687,242.76,-19.7275
115.547,242.336,-19.4826
116.384,241.853,-19.2041
117.172,241.318,-18.8953
117.352,241.183,-18.8171
118.071,240.579,-18.4682
118.727,239.931,-18.094
119.326,239.241,-17.6959
119.87,238.515,-17.2767
120.365,237.754,-16.8372
120.804,236.974,-16.3871
120.863,236.861,-16.3218
121.245,236.062,-15.8607
121.575,235.249,-15.3911
121.855,234.412,-14.9081
122.075,233.566,-14.4195
122.234,232.707,-13.9234
122.328,231.849,-13.4284
122.336,231.727,-13.3575
122.354,230.863,-12.8588
122.308,229.999,-12.3598
122.204,229.136,-11.8615
122.048,228.276,-11.365
121.843,227.42,-10.8712
121.6,226.585,-10.389
121.317,225.752,-9.9078
121.003,224.929,-9.43267
120.992,224.902,-9.41746
